type,title,calories,protein,carbs,fat,ingredients,recipe
Breakfast,Breakfast Special 9080,894,54,28,30,"Beef, Potatoes, Peas, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-9080
Lunch,Lunch Special 154,277,46,72,17,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/lunch-special-154
Dinner,Dinner Special 482,598,12,49,37,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-482
Lunch,Lunch Special 8235,171,42,66,9,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/lunch-special-8235
Dessert,Dessert Special 8412,541,63,10,37,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/dessert-special-8412
Breakfast,Breakfast Special 8673,206,55,27,35,"Chicken, Rice, Vegetables, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-8673
Lunch,Lunch Special 2314,628,55,9,4,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-2314
Breakfast,Breakfast Special 3861,399,44,75,7,"Bread, Peanut Butter, Banana, Beef, Potatoes, Peas",https://example.com/breakfast-special-3861
Snack,Snack Special 995,175,55,57,19,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/snack-special-995
Dinner,Dinner Special 3799,819,39,70,2,"Bread, Peanut Butter, Banana, Beef, Potatoes, Peas",https://example.com/dinner-special-3799
Dinner,Dinner Special 2949,639,49,71,21,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/dinner-special-2949
Dinner,Dinner Special 7317,700,48,15,29,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-7317
Dinner,Dinner Special 1791,837,61,31,39,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dinner-special-1791
Breakfast,Breakfast Special 7900,257,47,51,25,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-7900
Lunch,Lunch Special 842,312,12,10,13,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-842
Breakfast,Breakfast Special 5844,572,19,74,19,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/breakfast-special-5844
Dessert,Dessert Special 7700,557,62,80,33,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dessert-special-7700
Lunch,Lunch Special 2315,715,39,75,20,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/lunch-special-2315
Snack,Snack Special 8422,724,6,64,9,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/snack-special-8422
Breakfast,Breakfast Special 4344,871,23,72,36,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-4344
Snack,Snack Special 8123,561,47,27,7,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/snack-special-8123
Snack,Snack Special 6935,885,47,70,36,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/snack-special-6935
Breakfast,Breakfast Special 9847,210,60,23,32,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-9847
Snack,Snack Special 1228,765,17,52,18,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/snack-special-1228
Breakfast,Breakfast Special 6982,878,50,78,23,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-6982
Breakfast,Breakfast Special 1147,716,62,40,11,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-1147
Breakfast,Breakfast Special 9072,586,62,34,26,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-9072
Dessert,Dessert Special 5159,689,36,8,40,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/dessert-special-5159
Dinner,Dinner Special 6402,628,53,57,39,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/dinner-special-6402
Dinner,Dinner Special 7224,808,35,41,21,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/dinner-special-7224
Lunch,Lunch Special 5471,383,48,18,32,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-5471
Lunch,Lunch Special 4270,729,54,11,2,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-4270
Dessert,Dessert Special 450,841,7,43,31,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/dessert-special-450
Snack,Snack Special 3391,532,8,43,12,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/snack-special-3391
Breakfast,Breakfast Special 1064,779,64,31,30,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-1064
Breakfast,Breakfast Special 8321,491,50,26,22,"Chicken, Rice, Vegetables, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-8321
Breakfast,Breakfast Special 2149,151,50,25,25,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-2149
Lunch,Lunch Special 8502,152,40,70,36,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/lunch-special-8502
Breakfast,Breakfast Special 5285,267,37,13,18,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-5285
Dinner,Dinner Special 1855,250,29,7,1,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-1855
Lunch,Lunch Special 5227,883,69,23,4,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/lunch-special-5227
Dessert,Dessert Special 1505,539,43,76,6,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-1505
Snack,Snack Special 8369,678,61,11,29,"Bread, Peanut Butter, Banana, Chicken, Rice, Vegetables",https://example.com/snack-special-8369
Lunch,Lunch Special 5028,715,41,11,38,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/lunch-special-5028
Dinner,Dinner Special 9104,703,21,57,32,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/dinner-special-9104
Dinner,Dinner Special 2992,372,17,56,39,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/dinner-special-2992
Dessert,Dessert Special 8674,309,66,68,10,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-8674
Dessert,Dessert Special 3318,363,7,40,16,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/dessert-special-3318
Dessert,Dessert Special 2771,568,58,46,40,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-2771
Snack,Snack Special 3416,402,62,46,16,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/snack-special-3416
Breakfast,Breakfast Special 9055,584,36,55,5,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/breakfast-special-9055
Lunch,Lunch Special 4824,786,39,23,10,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/lunch-special-4824
Lunch,Lunch Special 4471,807,44,26,18,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-4471
Breakfast,Breakfast Special 957,270,50,50,39,"Chicken, Rice, Vegetables, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-957
Dinner,Dinner Special 5438,545,41,47,23,"Beef, Potatoes, Peas, Chicken, Rice, Vegetables",https://example.com/dinner-special-5438
Snack,Snack Special 991,383,24,27,7,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/snack-special-991
Snack,Snack Special 5289,251,61,41,4,"Beef, Potatoes, Peas, Smoothie, Berries, Almond Milk",https://example.com/snack-special-5289
Lunch,Lunch Special 475,156,70,5,35,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/lunch-special-475
Dessert,Dessert Special 8298,187,7,37,15,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-8298
Lunch,Lunch Special 3581,470,50,56,4,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-3581
Breakfast,Breakfast Special 9735,456,22,39,27,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/breakfast-special-9735
Dinner,Dinner Special 7401,195,15,58,28,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/dinner-special-7401
Breakfast,Breakfast Special 2907,479,69,14,35,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/breakfast-special-2907
Dessert,Dessert Special 2313,566,12,23,6,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-2313
Dessert,Dessert Special 6859,567,46,52,40,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/dessert-special-6859
Dinner,Dinner Special 9602,464,44,23,9,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/dinner-special-9602
Dinner,Dinner Special 8607,194,66,39,32,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/dinner-special-8607
Breakfast,Breakfast Special 64,485,28,44,26,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-64
Snack,Snack Special 6884,692,54,50,34,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/snack-special-6884
Breakfast,Breakfast Special 3587,333,54,26,3,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/breakfast-special-3587
Lunch,Lunch Special 9456,812,34,80,12,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/lunch-special-9456
Dessert,Dessert Special 5595,797,67,9,34,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-5595
Lunch,Lunch Special 7630,544,29,61,40,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-7630
Breakfast,Breakfast Special 4811,529,21,79,9,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-4811
Dessert,Dessert Special 1495,868,68,49,19,"Eggs, Bacon, Toast, Beef, Potatoes, Peas",https://example.com/dessert-special-1495
Snack,Snack Special 7597,454,7,29,24,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/snack-special-7597
Dessert,Dessert Special 3164,575,47,28,36,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/dessert-special-3164
Lunch,Lunch Special 9863,602,55,33,21,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-9863
Lunch,Lunch Special 6117,844,68,28,34,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/lunch-special-6117
Lunch,Lunch Special 9489,339,68,21,17,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/lunch-special-9489
Lunch,Lunch Special 6068,781,46,16,23,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/lunch-special-6068
Dessert,Dessert Special 4759,245,28,75,35,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/dessert-special-4759
Dessert,Dessert Special 6387,812,27,27,29,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-6387
Dinner,Dinner Special 6800,329,63,46,29,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/dinner-special-6800
Breakfast,Breakfast Special 889,600,55,28,30,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-889
Dessert,Dessert Special 4382,690,5,71,8,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/dessert-special-4382
Dessert,Dessert Special 8043,831,5,58,11,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-8043
Lunch,Lunch Special 3696,847,36,80,16,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-3696
Snack,Snack Special 8040,531,21,46,20,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/snack-special-8040
Breakfast,Breakfast Special 8064,423,33,24,24,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-8064
Snack,Snack Special 9434,853,57,79,31,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/snack-special-9434
Dinner,Dinner Special 3828,352,20,7,10,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dinner-special-3828
Snack,Snack Special 2331,579,57,27,3,"Beef, Potatoes, Peas, Smoothie, Berries, Almond Milk",https://example.com/snack-special-2331
Snack,Snack Special 3095,498,12,35,21,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/snack-special-3095
Dessert,Dessert Special 8133,718,6,59,31,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-8133
Snack,Snack Special 2186,729,11,50,12,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/snack-special-2186
Snack,Snack Special 4794,328,62,59,23,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/snack-special-4794
Dinner,Dinner Special 3891,651,15,49,24,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/dinner-special-3891
Snack,Snack Special 248,156,45,63,29,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/snack-special-248
Breakfast,Breakfast Special 7627,176,55,36,38,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-7627
Dessert,Dessert Special 3426,227,51,66,15,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-3426
Lunch,Lunch Special 2337,774,5,29,9,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/lunch-special-2337
Snack,Snack Special 2675,616,41,17,21,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/snack-special-2675
Snack,Snack Special 8864,854,51,72,32,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/snack-special-8864
Breakfast,Breakfast Special 7577,470,46,44,37,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-7577
Dinner,Dinner Special 5674,608,25,79,25,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-5674
Dessert,Dessert Special 27,734,28,74,27,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-27
Breakfast,Breakfast Special 365,269,21,29,30,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-365
Dinner,Dinner Special 276,890,30,54,18,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/dinner-special-276
Dessert,Dessert Special 5752,868,13,38,40,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-5752
Dinner,Dinner Special 9374,756,25,29,30,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/dinner-special-9374
Breakfast,Breakfast Special 8507,508,11,72,17,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/breakfast-special-8507
Dessert,Dessert Special 4650,724,8,57,8,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-4650
Lunch,Lunch Special 3377,786,70,27,28,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/lunch-special-3377
Dinner,Dinner Special 7366,880,35,50,25,"Chicken, Rice, Vegetables, Bread, Peanut Butter, Banana",https://example.com/dinner-special-7366
Lunch,Lunch Special 2423,332,52,10,20,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/lunch-special-2423
Dinner,Dinner Special 783,335,24,14,19,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/dinner-special-783
Breakfast,Breakfast Special 5108,773,10,45,26,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-5108
Dessert,Dessert Special 434,839,47,79,26,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/dessert-special-434
Snack,Snack Special 9666,406,61,53,25,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/snack-special-9666
Lunch,Lunch Special 7611,518,29,20,26,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/lunch-special-7611
Breakfast,Breakfast Special 4709,270,39,7,22,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/breakfast-special-4709
Dinner,Dinner Special 4439,891,51,79,7,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/dinner-special-4439
